I0519 21:23:11.526282  1129 server.go:1295] Starting language server process with pid 1129
I0519 21:23:24.769400  1129 manager.go:932] Reloading system slash commands
I0519 21:23:24.778594  1129 manager.go:936] Slash commands unchanged, skipping update
I0519 21:23:29.817248  1129 conversation_manager.go:279] Starting new conversation (agent=false)
I0519 21:23:29.817403  1129 server.go:718] Creating new cascade trajectory (agentScript=false)
I0519 21:23:29.817464  1129 server.go:726] Conversation using project ID: dac48734-6756-42e9-be9b-35a7b3df1a0e
I0519 21:23:29.819256  1129 server.go:747] Created conversation 7f381fb1-3157-442d-8a1a-923f8e333939
I0519 21:23:29.819809  1129 conversation_manager.go:373] Streaming conversation 7f381fb1-3157-442d-8a1a-923f8e333939
I0519 21:23:29.820272  1129 server.go:766] Starting conversation update stream for 7f381fb1-3157-442d-8a1a-923f8e333939
I0519 21:23:52.418371  1129 common.go:407] CLI program exited, shutting down
E0519 21:23:52.418491  1129 common.go:411] failed to truncate history: reading history file: open /Users/guy/.gemini/antigravity-cli/history.jsonl: no such file or directory
I0519 21:23:52.418516  1129 manager.go:451] CLI store manager shutting down
I0519 21:23:52.418970  1129 conversation_manager.go:341] Stopping conversation stream
I0519 21:23:52.419614  1129 server.go:2152] Language server shutting down
