I0519 21:24:26.438932  1267 server.go:1295] Starting language server process with pid 1267
I0519 21:24:26.611850  1267 common.go:312] CLI store manager created successfully
W0519 21:24:26.611862  1267 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:24:26.611880  1267 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:24:26.611891  1267 server.go:604] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0519 21:24:26.611902  1267 client.go:81] failed to set auth token
I0519 21:24:26.616235  1267 common.go:402] Starting CLI program
CLI ready for user input (startup took 5.222ms)
ERROR: logging before google.Init: I0519 21:24:26.618504     117 terminal_info_manager.go:160] Terminal detection: TERM="xterm-256color" altScreen=true ssh=false
I0519 21:24:26.619271  1267 gemini_extensions.go:28] Detecting Gemini extensions in /Users/guy/.gemini/extensions
I0519 21:24:26.620450  1267 gemini_extensions.go:46] Found 1 extensions: [conductor]
I0519 21:24:26.694393  1267 manager.go:543] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0519 21:24:26.750763  1267 auth.go:114] ChainedAuth: authenticated via keyring (effective: keyring)
I0519 21:24:27.216758  1267 http_helpers.go:178] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x119add0c19efa4c7
I0519 21:24:27.607205  1267 http_helpers.go:178] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x9f5fd4a8c0dde6eb
I0519 21:24:27.611402  1267 model_config_manager.go:157] Propagating selected model override to backend: label="Gemini 3.5 Flash (High)"
I0519 21:24:27.611554  1267 input_loop.go:493] Auth done received, triggering experiment refresh
I0519 21:24:27.611625  1267 experiment_manager.go:35] Starting experiment refresh after login
I0519 21:24:27.611739  1267 model_config_manager.go:157] Propagating selected model override to backend: label="Gemini 3.5 Flash (High)"
I0519 21:24:27.611801  1267 input_loop.go:493] Auth done received, triggering experiment refresh
I0519 21:24:27.611833  1267 experiment_manager.go:35] Starting experiment refresh after login
I0519 21:24:27.699428  1267 manager.go:543] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0519 21:24:27.788411  1267 experiment_manager.go:39] Experiments refreshed after login
I0519 21:24:27.788683  1267 manager.go:932] Reloading system slash commands
I0519 21:24:27.790094  1267 experiment_manager.go:39] Experiments refreshed after login
I0519 21:24:27.790263  1267 manager.go:932] Reloading system slash commands
I0519 21:24:27.801649  1267 manager.go:936] Slash commands unchanged, skipping update
I0519 21:24:39.858028  1267 input_loop.go:34] HandleUserInput called with text: "what does this directory contain?"
I0519 21:24:39.858183  1267 conversation_manager.go:279] Starting new conversation (agent=false)
I0519 21:24:39.858208  1267 server.go:718] Creating new cascade trajectory (agentScript=false)
I0519 21:24:39.858225  1267 server.go:726] Conversation using project ID: dac48734-6756-42e9-be9b-35a7b3df1a0e
I0519 21:24:39.859758  1267 server.go:747] Created conversation 244bd342-1d36-4764-8b99-06ab5571c46b
I0519 21:24:39.860590  1267 conversation_manager.go:373] Streaming conversation 244bd342-1d36-4764-8b99-06ab5571c46b
I0519 21:24:39.861248  1267 server.go:766] Starting conversation update stream for 244bd342-1d36-4764-8b99-06ab5571c46b
I0519 21:24:39.861345  1267 conversation_manager.go:316] Forwarding user message to conversation 244bd342-1d36-4764-8b99-06ab5571c46b (items=1, media=0)
I0519 21:24:39.861371  1267 server.go:1072] Sending user message to conversation 244bd342-1d36-4764-8b99-06ab5571c46b (items=1, media=0)
E0519 21:24:39.873358  1267 discovery.go:335] Failed to load JSON config file /Users/guy/.gemini/config/mcp_config.json: unexpected end of JSON input
I0519 21:24:41.728086  1267 http_helpers.go:178] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xb1307131f0c5d1ab
I0519 21:24:42.434700  1267 http_helpers.go:178] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x6353b81abb82b4aa
I0519 21:24:44.490158  1267 http_helpers.go:178] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf55d1115c3f7d9d5
I0519 21:24:46.980716  1267 conversation_manager.go:726] Cancelling in-progress response for conversation 244bd342-1d36-4764-8b99-06ab5571c46b
I0519 21:24:46.980765  1267 server.go:1376] Cancelling conversation 244bd342-1d36-4764-8b99-06ab5571c46b (killBackgroundTasks=false)
I0519 21:24:46.980868  1267 server.go:766] Starting conversation update stream for 244bd342-1d36-4764-8b99-06ab5571c46b
I0519 21:24:48.642973  1267 common.go:407] CLI program exited, shutting down
I0519 21:24:48.643344  1267 manager.go:451] CLI store manager shutting down
I0519 21:24:48.643881  1267 conversation_manager.go:341] Stopping conversation stream
I0519 21:24:48.644553  1267 server.go:2152] Language server shutting down
