I0519 21:23:05.721411  1019 server.go:1295] Starting language server process with pid 1019
I0519 21:23:05.864340  1019 common.go:312] CLI store manager created successfully
W0519 21:23:05.864385  1019 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
W0519 21:23:05.864397  1019 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0519 21:23:05.864408  1019 server.go:604] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0519 21:23:05.864416  1019 client.go:81] failed to set auth token
I0519 21:23:05.866081  1019 common.go:402] Starting CLI program
CLI ready for user input (startup took 2.535625ms)
ERROR: logging before google.Init: I0519 21:23:05.867851     116 terminal_info_manager.go:160] Terminal detection: TERM="xterm-256color" altScreen=true ssh=false
I0519 21:23:05.870698  1019 gemini_extensions.go:28] Detecting Gemini extensions in /Users/guy/.gemini/extensions
I0519 21:23:05.873787  1019 gemini_extensions.go:46] Found 1 extensions: [conductor]
I0519 21:23:05.943756  1019 manager.go:543] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0519 21:23:06.036798  1019 auth.go:114] ChainedAuth: authenticated via keyring (effective: keyring)
I0519 21:23:06.690165  1019 http_helpers.go:178] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xc4a06572226e9c0c
I0519 21:23:07.101676  1019 http_helpers.go:178] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xf205d36dc04fb7e9
I0519 21:23:07.104993  1019 model_config_manager.go:157] Propagating selected model override to backend: label="Gemini 3.5 Flash (High)"
I0519 21:23:07.105110  1019 input_loop.go:493] Auth done received, triggering experiment refresh
I0519 21:23:07.105196  1019 experiment_manager.go:35] Starting experiment refresh after login
I0519 21:23:07.105370  1019 model_config_manager.go:157] Propagating selected model override to backend: label="Gemini 3.5 Flash (High)"
I0519 21:23:07.105427  1019 input_loop.go:493] Auth done received, triggering experiment refresh
I0519 21:23:07.105452  1019 experiment_manager.go:35] Starting experiment refresh after login
I0519 21:23:07.176280  1019 experiment_manager.go:39] Experiments refreshed after login
I0519 21:23:07.176381  1019 manager.go:932] Reloading system slash commands
I0519 21:23:07.194000  1019 manager.go:543] Full redraw completed (rerenderAll) for conversation  (epoch 0, items 1)
I0519 21:23:07.287816  1019 experiment_manager.go:39] Experiments refreshed after login
I0519 21:23:07.287982  1019 manager.go:932] Reloading system slash commands
I0519 21:23:07.300651  1019 manager.go:936] Slash commands unchanged, skipping update
I0519 21:23:09.619466  1019 common.go:407] CLI program exited, shutting down
E0519 21:23:09.619670  1019 common.go:411] failed to truncate history: reading history file: open /Users/guy/.gemini/antigravity-cli/history.jsonl: no such file or directory
I0519 21:23:09.619710  1019 manager.go:451] CLI store manager shutting down
I0519 21:23:09.620581  1019 server.go:2152] Language server shutting down
